City,Lat,Lng
Agra,27.1766701,78.00807449999999
Ahmedabad,23.022505,72.5713621
Ahmednagar,19.0948287,74.74797889999999
Aizawl,23.7307175,92.71731059999999
Ajmer,26.4498954,74.6399163
Akola,20.7002159,77.0081678
Alwar,27.5529907,76.6345735
Amaravati,16.5130887,80.5164523
Ambala,30.3752011,76.782122
Amravati,20.9319821,77.7523039
Amritsar,31.6339793,74.8722642
Anantapur,14.6824455,77.6017089
Angul,20.8379124,85.09779139999999
Ankleshwar,21.6264236,73.0151984
Araria,26.1324689,87.4528067
Arrah,25.5541358,84.6664797
Asansol,23.6888636,86.9660638
"Aurangabad
(Maharashtra)",19.875754,75.3393195
Baddi,30.9578258,76.79135579999999
Badlapur,19.1667854,73.2367896
Bagalkot,16.1691096,75.6615029
Baghpat,28.9427827,77.22760699999999
Bahadurgarh,28.6913756,76.9314064
Ballabgarh,28.338774,77.3205629
Banswara,23.5451408,74.4405475
Baran,25.1012882,76.5119321
Barbil,22.1112096,85.38585379999999
Bareilly,28.3670355,79.4304381
Baripada,21.9319838,86.7465928
Barmer,25.7521467,71.3966865
Barrackpore,22.766117,88.35155619999999
Bathinda,30.210994,74.9454745
Begusarai,25.4181638,86.1271542
Belapur,19.0221652,73.0390426
Belgaum,15.8608974,74.5129177
Bengaluru,12.9628669,77.57750899999999
Bettiah,26.8025577,84.520147
Bhagalpur,25.242453,86.9842256
Bharatpur,27.670626,84.4384613
Bhilai,21.1938475,81.3509416
Bhilwara,25.3407388,74.63131829999999
Bhiwadi,28.2014149,76.8275503
Bhiwandi,19.2812547,73.0482912
Bhopal,23.2599333,77.412615
Bhubaneswar,20.2959847,85.8246101
Bihar Sharif,25.1947733,85.51703049999999
Bikaner,28.0229348,73.3119159
Bilaspur,22.0796545,82.1409152
Boisar,19.7968929,72.7451817
Brajrajnagar,21.8284575,83.91759259999999
Bulandshahr,28.406963,77.8498292
Bundi,25.4325869,75.6482726
Buxar,25.5647103,83.9777482
Byasanagar,20.9550552,86.1271048
Byrnihat,26.0515133,91.8696411
Chamarajanagar,11.9261471,76.9437312
Chandigarh,30.7333148,76.7794179
Chandrapur,19.9615398,79.2961468
Charkhi Dadri,28.6143097,76.2174935
Chennai,13.0843007,80.2704622
Chhal,22.1266092,83.1347414
Chhapra,25.7811397,84.7543413
Chikkaballapur,13.4354985,77.7315344
Chikkamagaluru,13.3161441,75.7720439
Chittoor,13.217176,79.1003289
Chittorgarh,24.8829177,74.6229699
Churu,28.2925364,74.9707262
Coimbatore,10.9973691,76.9588876
Cuttack,20.462521,85.8829895
Damoh,23.8323022,79.4386591
Dausa,26.8996953,76.332411
Davanagere,14.4644085,75.921758
Dehradun,30.3164945,78.03219179999999
Delhi,28.7040592,77.10249019999999
Dewas,22.9675929,76.0534454
Dhanbad,23.7956531,86.43038589999999
Dharuhera,28.2056606,76.7914639
Dharwad,15.4589236,75.007808
Dhule,20.9042201,74.7748979
Dungarpur,23.8518813,73.72043049999999
Durgapur,23.5204443,87.3119227
