city,lats,longs
Agartala,23.831457,91.2867777
Agra,27.1766701,78.00807449999999
Ahmedabad,23.022505,72.5713621
Ahmednagar,19.0948287,74.74797889999999
Aizawl,23.7307175,92.71731059999999
Ajmer,26.4498954,74.6399163
Akola,20.7002159,77.0081678
Alwar,27.5529907,76.6345735
Amaravati,16.5130887,80.5164523
Ambala,30.3752011,76.782122
Amravati,20.9319821,77.7523039
Amritsar,31.6339793,74.8722642
Anantapur,14.6824455,77.6017089
Angul,20.8404122,85.1028982
Araria,26.1324689,87.4528067
Ariyalur,11.1403677,79.07445
Arrah,25.5541358,84.6664797
Asansol,23.6888636,86.9660638
"Aurangabad, Bihar",24.7486689,84.3807025
"Aurangabad, Maharashtra",19.875754,75.3393195
Baddi,30.9578258,76.79135579999999
Bagalkot,16.1691096,75.6615029
Baghpat,28.9427827,77.22760699999999
Bahadurgarh,28.6913756,76.9314064
Balasore,21.4933578,86.9134794
Banswara,23.5451408,74.4405475
Barbil,22.1112096,85.38585379999999
Bareilly,28.3670355,79.4304381
Barmer,25.7521467,71.3966865
Bathinda,30.210994,74.9454745
Begusarai,25.4181638,86.1271542
Belapur,19.0221652,73.0390426
Belgaum,15.8496953,74.4976741
Bengaluru,12.9715987,77.5945627
Bettiah,26.8025577,84.520147
Bhagalpur,25.2371958,86.97457020000002
Bharatpur,27.2151863,77.5029996
Bhilai,21.1938475,81.3509416
Bhilwara,25.3407388,74.63131829999999
Bhiwadi,28.2014149,76.8275503
Bhiwandi,19.2812547,73.0482912
Bhiwani,28.7974684,76.1322058
Bhopal,23.2599333,77.412615
Bhubaneswar,20.2959847,85.8246101
Bidar,17.9103939,77.51990789999999
Bihar Sharif,25.2049738,85.517437
Bikaner,28.0229348,73.3119159
Bilaspur,22.0796545,82.1409152
Bileipada,21.8635241,84.9850045
Boisar,19.7968929,72.7451817
Brajrajnagar,21.8284575,83.91759259999999
Bulandshahr,28.406963,77.8498292
Bundi,25.4325869,75.6482726
Buxar,25.5647103,83.9777482
Byasanagar,20.9550552,86.1271048
Byrnihat,26.0515133,91.8696411
Chamarajanagar,11.9261471,76.9437312
Chandigarh,30.7333148,76.7794179
Chandrapur,19.9615398,79.2961468
Charkhi Dadri,28.5920617,76.2652909
Chengalpattu,12.6819372,79.98884129999999
Chennai,13.0843007,80.2704622
Chikkaballapur,13.4354985,77.7315344
Chikkamagaluru,13.3161441,75.7720439
Chittoor,13.217176,79.1003289
Chittorgarh,24.8829177,74.6229699
Churu,28.2925364,74.9707262
Coimbatore,11.0168445,76.9558321
Cuddalore,11.7480419,79.7713687
Cuttack,20.462521,85.8829895
Damoh,23.8323022,79.4386591
Dausa,26.8996953,76.332411
Davanagere,14.4644085,75.921758
Dehradun,30.3164945,78.03219179999999
Delhi,28.7040592,77.10249019999999
Dewas,22.9675929,76.0534454
Dhanbad,23.7956531,86.43038589999999
Dharuhera,28.2056606,76.7914639
Dharwad,15.4589236,75.007808
Dholpur,26.6965521,77.8907576
