S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",lats,longs
1,Agartala,Poor,245,PM2.5,1/2,23.831457,91.2867777
2,Agra,Satisfactory,93,"PM10, PM2.5",6/6,27.1766701,78.00807449999999
3,Ahmedabad,Moderate,126,PM2.5,8/9,23.022505,72.5713621
4,Ahmednagar,Moderate,175,PM10,1/1,19.0948287,74.74797889999999
5,Aizawl,Good,28,PM10,1/1,23.7307175,92.7173106
6,Ajmer,Satisfactory,93,PM10,1/1,26.4498954,74.6399163
7,Akola,Moderate,121,PM2.5,1/1,20.7002159,77.0081678
8,Alwar,Satisfactory,96,PM10,1/1,27.5529907,76.6345735
9,Amaravati,Moderate,178,PM2.5,1/1,16.5130887,80.5164523
10,Ambala,Moderate,110,PM10,1/1,30.3752011,76.782122
11,Amravati,Moderate,113,PM10,2/2,20.9319821,77.7523039
12,Amritsar,Satisfactory,71,PM2.5,1/1,31.6339793,74.8722642
13,Anantapur,Satisfactory,62,PM10,1/1,14.6824455,77.6017089
14,Angul,Poor,222,PM2.5,1/1,20.8404122,85.1028982
15,Araria,Moderate,160,PM2.5,1/1,26.1324689,87.4528067
16,Ariyalur,Good,28,PM10,1/1,11.1403677,79.07445
17,Arrah,Moderate,109,PM2.5,1/1,25.5541358,84.6664797
18,Asansol,Poor,273,PM2.5,4/4,23.6888636,86.9660638
19,Aurangabad (Bihar),Moderate,194,PM2.5,1/1,,
20,"Aurangabad
(Maharashtra)",Moderate,106,"PM10, O3",3/3,,
21,Baddi,Moderate,128,PM2.5,1/1,30.9578258,76.79135579999999
22,Badlapur,Moderate,111,PM10,1/1,19.166784,73.236794
22,Badlapur,Moderate,111,PM10,1/1,19.166784,73.236794
23,Bagalkot,Good,49,PM10,1/1,16.1691096,75.6615029
24,Baghpat,Moderate,134,PM10,1/2,28.9427827,77.22760699999999
25,Bahadurgarh,Poor,249,PM2.5,1/1,28.6913756,76.9314064
26,Balasore,Moderate,180,PM2.5,1/1,21.4933578,86.9134794
27,Banswara,Moderate,112,O3,1/1,23.5451408,74.4405475
28,Baran,Moderate,109,PM10,1/1,25.101145,76.513161
28,Baran,Moderate,109,PM10,1/1,25.101145,76.513161
29,Barbil,Moderate,123,PM2.5,1/1,22.1112096,85.38585379999999
30,Bareilly,Satisfactory,54,PM10,2/2,28.3670355,79.4304381
31,Barmer,Satisfactory,84,O3,1/1,25.7521467,71.3966865
32,Bathinda,Satisfactory,80,PM10,1/1,30.210994,74.9454745
33,Begusarai,Poor,214,PM10,1/1,25.4181638,86.1271542
34,Belapur,Moderate,130,PM10,1/1,19.0221652,73.0390426
35,Belgaum,Satisfactory,96,PM10,1/1,15.8496953,74.4976741
36,Bengaluru,Satisfactory,64,"PM10, PM2.5, CO",10/14,12.9715987,77.5945627
37,Bettiah,Moderate,179,PM2.5,1/1,26.8025577,84.520147
38,Bhagalpur,Poor,208,PM2.5,2/2,25.2371958,86.97457020000002
39,Bharatpur,Moderate,133,PM10,1/1,27.2151863,77.5029996
40,Bhilai,Moderate,131,PM2.5,3/3,21.1938475,81.3509416
41,Bhilwara,Moderate,114,PM2.5,1/1,25.3407388,74.63131829999999
42,Bhiwadi,Moderate,150,"PM10, PM2.5",2/2,28.2014149,76.8275503
43,Bhiwandi,Moderate,108,PM2.5,1/1,19.2812547,73.0482912
44,Bhiwani,Moderate,155,PM10,1/1,28.7974684,76.1322058
45,Bhopal,Moderate,152,"PM10, PM2.5, O3",3/3,23.2599333,77.412615
46,Bhubaneswar,Poor,241,PM2.5,2/2,20.2959847,85.8246101
47,Bidar,Moderate,101,PM10,1/1,17.9103939,77.51990789999999
48,Bihar Sharif,Moderate,167,PM10,1/1,25.2049738,85.517437
49,Bikaner,Moderate,156,PM10,1/1,28.0229348,73.3119159
50,Bilaspur,Satisfactory,74,PM10,1/1,22.0796545,82.1409152
51,Bileipada,Moderate,184,PM10,1/1,21.8635241,84.9850045
52,Boisar,Moderate,116,PM10,1/1,19.7968929,72.7451817
53,Brajrajnagar,Satisfactory,97,PM10,1/1,21.8284575,83.91759259999999
54,Bulandshahr,Moderate,160,PM2.5,1/1,28.406963,77.8498292
55,Bundi,Moderate,114,PM10,1/1,25.4325869,75.6482726
56,Buxar,Moderate,112,O3,1/1,25.5647103,83.9777482
57,Byasanagar,Moderate,160,O3,1/1,20.9550552,86.1271048
58,Byrnihat,Poor,267,PM2.5,1/1,26.0515133,91.8696411
59,Chamarajanagar,Good,42,PM10,1/1,11.9261471,76.9437312
60,Chandigarh,Moderate,200,PM2.5,3/3,30.7333148,76.7794179
61,Chandrapur,Moderate,181,PM10,1/2,19.9615398,79.2961468
62,Charkhi Dadri,Moderate,101,PM2.5,1/1,28.5920617,76.2652909
63,Chengalpattu,Satisfactory,51,PM10,1/1,12.6819372,79.98884129999999
64,Chennai,Satisfactory,80,PM2.5,6/9,13.0843007,80.2704622
65,Chhal,Satisfactory,75,PM10,1/1,22.12832,83.11623
66,Chikkaballapur,Satisfactory,70,PM2.5,1/1,13.4354985,77.7315344
67,Chikkamagaluru,Good,36,PM10,1/1,13.3161441,75.7720439
68,Chittoor,Moderate,104,PM2.5,1/1,13.217176,79.1003289
69,Chittorgarh,Moderate,172,PM2.5,1/1,24.8829177,74.6229699
70,Churu,Moderate,177,PM2.5,1/1,28.2925364,74.9707262
71,Coimbatore,Good,37,PM2.5,2/2,11.0168445,76.9558321
72,Cuddalore,Satisfactory,55,PM2.5,1/2,11.7480419,79.7713687
73,Cuttack,Poor,224,O3,1/1,20.462521,85.8829895
74,Damoh,Moderate,127,PM10,1/1,23.8323022,79.4386591
75,Dausa,Moderate,143,PM10,1/1,26.8996953,76.332411
76,Davanagere,Moderate,160,PM2.5,1/1,14.4644085,75.921758
77,Dehradun,Moderate,133,PM2.5,1/1,30.3164945,78.03219179999999
78,Delhi,Poor,262,PM2.5,38/39,28.7040592,77.10249019999999
79,Dewas,Moderate,106,PM10,1/1,22.9675929,76.0534454
80,Dhanbad,Satisfactory,88,PM2.5,1/2,23.7956531,86.43038589999999
81,Dharuhera,Satisfactory,90,PM2.5,1/1,28.2056606,76.7914639
82,Dharwad,Satisfactory,78,PM10,1/1,15.4589236,75.007808
83,Dholpur,Poor,205,PM2.5,1/1,26.6965521,77.8907576
84,Dhule,Satisfactory,83,PM10,1/1,20.9042201,74.7748979
85,Dungarpur,Moderate,178,O3,1/1,23.8518813,73.72043049999999
86,Durgapur,Poor,276,PM2.5,3/3,23.5204443,87.3119227
87,Faridabad,Moderate,111,"PM10, PM2.5",3/4,28.4089123,77.3177894
88,Fatehabad,Moderate,107,PM10,1/1,29.5131814,75.4509532
89,Firozabad,Satisfactory,68,PM10,2/2,27.1591961,78.3957331
90,Gadag,Satisfactory,97,PM10,1/1,15.4315406,75.63551489999999
91,Gandhinagar,Moderate,106,PM10,3/3,23.2156354,72.63694149999999
92,Gaya,Moderate,140,"PM10, PM2.5",3/3,24.7913957,85.0002336
93,Ghaziabad,Moderate,137,"PM10, PM2.5",4/4,28.6691565,77.45375779999999
94,Gorakhpur,Moderate,155,PM10,1/1,26.7605545,83.3731675
95,Greater Noida,Moderate,190,PM2.5,2/2,28.4743879,77.50399039999999
96,Gummidipoondi,Moderate,194,PM2.5,1/1,13.4109557,80.11697079999999
97,Gurugram,Poor,237,PM2.5,3/4,28.4594965,77.0266383
98,Guwahati,Moderate,186,PM2.5,3/4,26.1157917,91.7085933
99,Gwalior,Moderate,166,"PM10, PM2.5",3/4,26.2124007,78.1772053
100,Hajipur,Poor,299,PM2.5,1/1,25.6924354,85.20832399999999
101,Haldia,Poor,262,PM2.5,1/1,22.0627164,88.0832934
102,Hapur,Satisfactory,100,PM10,1/1,28.73057979999999,77.7758825
103,Hassan,Satisfactory,57,PM2.5,1/1,13.0033234,76.1003894
104,Haveri,Good,47,PM10,1/1,14.7950698,75.39906739999999
105,Hisar,Poor,237,PM2.5,1/1,29.1491875,75.7216527
106,Howrah,Poor,294,PM2.5,5/5,22.5957689,88.26363940000002
107,Hubballi,Satisfactory,68,"PM10, PM2.5",2/2,15.3647083,75.1239547
