S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",lats,longs
1,Agartala,Satisfactory,90,O3,1/2,23.831457,91.2867777
2,Agra,Satisfactory,67,"PM10, PM2.5",6/6,27.1766701,78.00807449999999
3,Ahmedabad,Moderate,172,"PM2.5, O3",7/9,23.022505,72.5713621
4,Ahmednagar,Moderate,162,O3,1/1,19.0948287,74.74797889999999
5,Aizawl,Satisfactory,59,PM10,1/1,23.7307175,92.7173106
6,Ajmer,Satisfactory,73,PM10,1/1,26.4498954,74.6399163
7,Akola,Moderate,120,PM10,1/1,20.7002159,77.0081678
8,Alwar,Satisfactory,84,PM10,1/1,27.5529907,76.6345735
9,Amaravati,Satisfactory,78,PM10,1/1,16.5130887,80.5164523
10,Amravati,Satisfactory,64,PM10,2/2,20.9319821,77.7523039
11,Amritsar,Satisfactory,81,PM10,1/1,31.6339793,74.8722642
12,Anantapur,Satisfactory,55,PM10,1/1,14.6824455,77.6017089
13,Angul,Poor,205,PM2.5,1/1,20.8404122,85.1028982
14,Ankleshwar,Moderate,110,PM2.5,1/1,,
15,Araria,Moderate,165,PM10,1/1,26.1324689,87.4528067
16,Ariyalur,Satisfactory,60,PM10,1/1,11.1403677,79.07445
17,Arrah,Moderate,157,O3,1/1,25.5541358,84.6664797
18,Asansol,Poor,207,PM2.5,4/4,23.6888636,86.9660638
19,Aurangabad (Bihar),Moderate,159,PM10,1/1,,
20,"Aurangabad
(Maharashtra)",Moderate,104,PM10,3/3,,
21,Baddi,Satisfactory,60,PM10,1/1,30.9578258,76.79135579999999
22,Badlapur,Moderate,155,O3,1/1,19.166784,73.236794
22,Badlapur,Moderate,155,O3,1/1,19.166784,73.236794
23,Balasore,Moderate,187,PM2.5,1/1,21.4933578,86.9134794
24,Banswara,Moderate,109,PM10,1/1,23.5451408,74.4405475
25,Baran,Satisfactory,76,PM10,1/1,25.101145,76.513161
25,Baran,Satisfactory,76,PM10,1/1,25.101145,76.513161
26,Barbil,Poor,203,PM10,1/1,22.1112096,85.38585379999999
27,Bareilly,Satisfactory,59,"SO2 , PM10",2/2,28.3670355,79.4304381
28,Baripada,Poor,220,PM2.5,1/1,,
29,Barmer,Moderate,117,PM10,1/1,25.7521467,71.3966865
30,Barrackpore,Moderate,165,PM2.5,1/1,,
31,Bathinda,Satisfactory,58,PM10,1/1,30.210994,74.9454745
32,Begusarai,Moderate,143,PM2.5,1/1,25.4181638,86.1271542
33,Belapur,Moderate,144,PM10,1/1,19.0221652,73.0390426
34,Belgaum,Good,41,PM10,1/1,15.8496953,74.4976741
35,Bengaluru,Satisfactory,81,PM10,10/14,12.9715987,77.5945627
36,Bettiah,Moderate,134,PM2.5,1/1,26.8025577,84.520147
37,Bhagalpur,Moderate,166,PM2.5,2/2,25.2371958,86.97457020000002
38,Bharatpur,Satisfactory,82,PM10,1/1,27.2151863,77.5029996
39,Bhilai,Satisfactory,64,"NO2 , PM10, PM2.5",3/3,21.1938475,81.3509416
40,Bhilwara,Moderate,110,PM10,1/1,25.3407388,74.63131829999999
41,Bhiwadi,Moderate,120,"PM10, PM2.5",2/2,28.2014149,76.8275503
42,Bhiwandi,Moderate,131,PM10,1/1,19.2812547,73.0482912
43,Bhopal,Moderate,122,"PM10, O3",3/3,23.2599333,77.412615
44,Bhubaneswar,Moderate,132,"PM10, PM2.5",2/2,20.2959847,85.8246101
45,Bihar Sharif,Moderate,128,PM10,1/1,25.2049738,85.517437
46,Bikaner,Moderate,156,PM10,1/1,28.0229348,73.3119159
47,Bilaspur,Satisfactory,57,PM10,1/1,22.0796545,82.1409152
48,Bileipada,Moderate,145,PM10,1/1,21.8635241,84.9850045
49,Boisar,Moderate,109,PM10,1/1,19.7968929,72.7451817
50,Brajrajnagar,Moderate,107,PM10,1/1,21.8284575,83.91759259999999
51,Bulandshahr,Moderate,107,PM10,1/1,28.406963,77.8498292
52,Bundi,Moderate,105,PM10,1/1,25.4325869,75.6482726
53,Buxar,Satisfactory,95,PM2.5,1/1,25.5647103,83.9777482
54,Byasanagar,Moderate,165,O3,1/1,20.9550552,86.1271048
55,Chamarajanagar,Good,45,PM10,1/1,11.9261471,76.9437312
56,Chandigarh,Satisfactory,82,"PM10, PM2.5",2/3,30.7333148,76.7794179
57,Chandrapur,Satisfactory,98,"PM10, O3",2/2,19.9615398,79.2961468
58,Charkhi Dadri,Moderate,169,PM2.5,1/1,28.5920617,76.2652909
59,Chennai,Satisfactory,85,"PM10, PM2.5",6/9,13.0843007,80.2704622
60,Chhal,Satisfactory,62,PM10,1/1,22.12832,83.11623
61,Chikkaballapur,Satisfactory,80,PM2.5,1/1,13.4354985,77.7315344
62,Chittoor,Satisfactory,80,PM2.5,1/1,13.217176,79.1003289
63,Chittorgarh,Satisfactory,85,PM10,1/1,24.8829177,74.6229699
64,Churu,Satisfactory,93,PM10,1/1,28.2925364,74.9707262
65,Coimbatore,Satisfactory,70,"PM10, PM2.5",2/2,11.0168445,76.9558321
66,Cuddalore,Moderate,104,"NO2 , PM2.5",2/2,11.7480419,79.7713687
67,Damoh,Good,45,PM10,1/1,23.8323022,79.4386591
68,Dausa,Poor,214,PM10,1/1,26.8996953,76.332411
