S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations"
1,Agra,Moderate,107,PM10,5/6
2,Ahmedabad,Moderate,124,"PM10, NO2",8/9
3,Ahmednagar,Satisfactory,82,PM10,1/1
4,Aizawl,Satisfactory,56,PM2.5,1/1
5,Ajmer,Moderate,114,PM10,1/1
6,Akola,Satisfactory,72,PM10,1/1
7,Alwar,Moderate,123,PM10,1/1
8,Amaravati,Poor,227,PM2.5,1/1
9,Ambala,Good,50,PM10,1/1
10,Amravati,Satisfactory,94,PM10,2/2
11,Amritsar,Moderate,114,PM10,1/1
12,Anantapur,Satisfactory,78,PM2.5,1/1
13,Angul,Very Poor,310,O3,1/1
14,Ankleshwar,Satisfactory,98,PM10,1/1
15,Araria,Moderate,114,PM2.5,1/1
16,Arrah,Satisfactory,53,CO,1/1
17,Asansol,Moderate,170,PM2.5,4/4
18,"Aurangabad
(Maharashtra)",Satisfactory,93,"PM10, PM2.5",3/3
19,Baddi,Moderate,128,PM10,1/1
20,Badlapur,Moderate,112,PM10,1/1
21,Bagalkot,Good,46,PM10,1/1
22,Baghpat,Moderate,195,PM2.5,1/2
23,Bahadurgarh,Moderate,187,PM2.5,1/1
24,Balasore,Very Poor,301,PM2.5,1/1
25,Ballabgarh,Moderate,157,PM2.5,1/1
26,Banswara,Moderate,101,PM10,1/1
27,Baran,Moderate,156,PM2.5,1/1
28,Barbil,Poor,235,PM2.5,1/1
29,Bareilly,Satisfactory,58,"CO, PM10",2/2
30,Baripada,Poor,231,PM2.5,1/1
31,Barmer,Satisfactory,85,O3,1/1
32,Barrackpore,Moderate,110,PM2.5,1/1
33,Bathinda,Satisfactory,78,CO,1/1
34,Begusarai,Moderate,104,CO,1/1
35,Belapur,Moderate,125,PM10,1/1
36,Belgaum,Satisfactory,82,PM10,1/1
37,Bengaluru,Moderate,123,PM2.5,11/14
38,Bhagalpur,Satisfactory,88,PM10,2/2
39,Bharatpur,Moderate,101,PM10,1/1
40,Bhilai,Satisfactory,67,PM10,3/3
41,Bhilwara,Poor,205,PM2.5,1/1
42,Bhiwadi,Moderate,170,PM2.5,2/2
43,Bhiwandi,Moderate,112,PM10,1/1
44,Bhopal,Moderate,114,"PM10, PM2.5",3/3
45,Bhubaneswar,Moderate,161,"PM10, O3",2/2
46,Bihar Sharif,Satisfactory,88,PM2.5,1/1
47,Bikaner,Moderate,151,PM10,1/1
48,Bilaspur,Satisfactory,94,PM10,1/1
49,Bileipada,Poor,257,PM2.5,1/1
50,Boisar,Satisfactory,90,PM10,1/1
51,Brajrajnagar,Moderate,188,PM2.5,1/1
52,Bulandshahr,Moderate,142,PM2.5,1/1
53,Bundi,Poor,256,PM2.5,1/1
54,Buxar,Satisfactory,75,PM2.5,1/1
55,Byasanagar,Poor,222,O3,1/1
56,Byrnihat,Moderate,162,PM2.5,1/1
57,Chamarajanagar,Good,50,PM10,1/1
