S.No,City,Air Quality,"Index
Value",Prominent Pollutant,"No. of Stations
Participated/
Total Stations",Lat,Lng
1,Agra,Moderate,107,PM10,5/6,27.1766701,78.00807449999999
2,Ahmedabad,Moderate,124,"PM10, NO2",8/9,23.022505,72.5713621
3,Ahmednagar,Satisfactory,82,PM10,1/1,19.0948287,74.74797889999999
4,Aizawl,Satisfactory,56,PM2.5,1/1,23.7307175,92.7173106
5,Ajmer,Moderate,114,PM10,1/1,26.4498954,74.6399163
6,Akola,Satisfactory,72,PM10,1/1,20.7002159,77.0081678
7,Alwar,Moderate,123,PM10,1/1,27.5529907,76.6345735
8,Amaravati,Poor,227,PM2.5,1/1,16.5130887,80.5164523
9,Ambala,Good,50,PM10,1/1,30.3752011,76.782122
10,Amravati,Satisfactory,94,PM10,2/2,20.9319821,77.7523039
11,Amritsar,Moderate,114,PM10,1/1,31.6339793,74.8722642
12,Anantapur,Satisfactory,78,PM2.5,1/1,14.6824455,77.6017089
13,Angul,Very Poor,310,O3,1/1,20.8379124,85.09779139999999
14,Ankleshwar,Satisfactory,98,PM10,1/1,21.6264236,73.0151984
15,Araria,Moderate,114,PM2.5,1/1,26.1324689,87.4528067
16,Arrah,Satisfactory,53,CO,1/1,25.5541358,84.6664797
17,Asansol,Moderate,170,PM2.5,4/4,23.6888636,86.9660638
18,"Aurangabad
(Maharashtra)",Satisfactory,93,"PM10, PM2.5",3/3,19.875754,75.3393195
19,Baddi,Moderate,128,PM10,1/1,30.9578258,76.79135579999999
20,Badlapur,Moderate,112,PM10,1/1,19.1667854,73.2367896
21,Bagalkot,Good,46,PM10,1/1,16.1691096,75.6615029
22,Baghpat,Moderate,195,PM2.5,1/2,28.9427827,77.22760699999999
23,Bahadurgarh,Moderate,187,PM2.5,1/1,28.6913756,76.9314064
24,Balasore,Very Poor,301,PM2.5,1/1,21.501168,86.91781519999999
25,Ballabgarh,Moderate,157,PM2.5,1/1,28.338774,77.3205629
26,Banswara,Moderate,101,PM10,1/1,23.5451408,74.4405475
27,Baran,Moderate,156,PM2.5,1/1,25.1012882,76.5119321
28,Barbil,Poor,235,PM2.5,1/1,22.1112096,85.38585379999999
29,Bareilly,Satisfactory,58,"CO, PM10",2/2,28.3670355,79.4304381
30,Baripada,Poor,231,PM2.5,1/1,21.9319838,86.7465928
31,Barmer,Satisfactory,85,O3,1/1,25.7521467,71.3966865
32,Barrackpore,Moderate,110,PM2.5,1/1,22.766117,88.35155619999999
33,Bathinda,Satisfactory,78,CO,1/1,30.210994,74.9454745
34,Begusarai,Moderate,104,CO,1/1,25.4181638,86.1271542
35,Belapur,Moderate,125,PM10,1/1,19.0221652,73.0390426
36,Belgaum,Satisfactory,82,PM10,1/1,15.8608974,74.5129177
